2026-04-18 01:53:16 | INFO | 🟡 WAIT       | PNB             | ₹    114.48 | EMAs converging, no breakout yet
2026-04-18 01:53:19 | INFO | 🔴 EXIT       | MAXHEALTH       | ₹   1007.65 | Below 40W EMA
2026-04-18 01:53:21 | INFO | 🟢 HOLD_ADD   | MOTILALOFS      | ₹    815.45 | Above all weekly EMAs
2026-04-18 01:53:23 | WARNING | LTM: Insufficient data for analysis
2026-04-18 01:53:25 | INFO | 🟢 HOLD_ADD   | SYRMA           | ₹    978.10 | Above all weekly EMAs
2026-04-18 01:53:27 | INFO | 🔴 EXIT       | PGEL            | ₹    561.40 | Below 40W EMA
2026-04-18 01:53:29 | INFO | 🟡 WAIT       | INDUSINDBK      | ₹    853.90 | EMAs converging, no breakout yet
2026-04-18 01:53:31 | INFO | 🔴 EXIT       | BDL             | ₹   1380.70 | Below 40W EMA
2026-04-18 01:53:33 | INFO | 🟣 FADING     | MARICO          | ₹    757.30 | Below 10W EMA - momentum fading
2026-04-18 01:53:36 | INFO | 🔴 EXIT       | JWL             | ₹    286.23 | Below 40W EMA
2026-04-18 01:53:38 | WARNING | ENRIN: Insufficient data for analysis
2026-04-18 01:53:40 | INFO | 🟢 HOLD_ADD   | APLAPOLLO       | ₹   2105.70 | Above all weekly EMAs
2026-04-18 01:53:42 | WARNING | BELRISE: Insufficient data for analysis
2026-04-18 01:53:44 | INFO | 🟢 HOLD_ADD   | TORNTPOWER      | ₹   1565.00 | Above all weekly EMAs
2026-04-18 01:53:46 | INFO | 🔴 EXIT       | PIIND           | ₹   3139.70 | Below 40W EMA
2026-04-18 01:53:48 | INFO | 🟢 HOLD_ADD   | RAILTEL         | ₹    335.29 | Above all weekly EMAs
2026-04-18 01:53:50 | INFO | 🟢 HOLD_ADD   | MFSL            | ₹   1683.20 | Above all weekly EMAs
2026-04-18 01:53:53 | INFO | 🟡 WAIT       | TATACONSUM      | ₹   1113.20 | EMAs converging, no breakout yet
2026-04-18 01:53:55 | INFO | 🔴 EXIT       | IGL             | ₹    169.27 | Below 40W EMA
2026-04-18 01:53:57 | INFO | 🔴 EXIT       | ZEEL            | ₹     81.04 | Below 40W EMA
2026-04-18 01:53:59 | INFO | 🟢 HOLD_ADD   | LAURUSLABS      | ₹   1135.75 | Above all weekly EMAs
2026-04-18 01:54:01 | INFO | 🟢 HOLD_ADD   | OFSS            | ₹   7992.50 | Above all weekly EMAs
2026-04-18 01:54:03 | INFO | 🔴 EXIT       | PARADEEP        | ₹    124.33 | Below 40W EMA
2026-04-18 01:54:05 | INFO | 🟡 WAIT       | IFCI            | ₹     61.19 | EMAs converging, no breakout yet
