2026-04-11 01:37:22 | INFO | 🔴 EXIT       | REDINGTON       | ₹    221.18 | Below 40W EMA
2026-04-11 01:37:24 | INFO | 🔴 EXIT       | HBLENGINE       | ₹    730.65 | Below 40W EMA
2026-04-11 01:37:26 | INFO | 🔴 EXIT       | KFINTECH        | ₹    911.45 | Below 40W EMA
2026-04-11 01:37:28 | INFO | 🔴 EXIT       | 360ONE          | ₹   1012.65 | Below 40W EMA
2026-04-11 01:37:30 | INFO | 🔴 EXIT       | UNOMINDA        | ₹   1078.00 | Below 40W EMA
2026-04-11 01:37:33 | INFO | 🟡 WAIT       | KIMS            | ₹    664.25 | EMAs converging, no breakout yet
2026-04-11 01:37:35 | INFO | 🔴 EXIT       | ONESOURCE       | ₹   1438.90 | Below 40W EMA
2026-04-11 01:37:37 | INFO | 🔴 EXIT       | TARIL           | ₹    281.45 | Below 40W EMA
2026-04-11 01:37:39 | INFO | 🟢 HOLD_ADD   | OIL             | ₹    471.30 | Above all weekly EMAs
2026-04-11 01:37:41 | INFO | 🔴 EXIT       | OFSS            | ₹   7253.50 | Below 40W EMA
2026-04-11 01:37:43 | INFO | 🟡 WAIT       | HSCL            | ₹    470.90 | EMAs converging, no breakout yet
2026-04-11 01:37:45 | INFO | 🟢 HOLD_ADD   | SCI             | ₹    243.29 | Above all weekly EMAs
2026-04-11 01:37:48 | INFO | 🔴 EXIT       | KPITTECH        | ₹    716.45 | Below 40W EMA
2026-04-11 01:37:50 | INFO | 🟡 WAIT       | JSWENERGY       | ₹    488.85 | EMAs converging, no breakout yet
2026-04-11 01:37:52 | INFO | 🟢 HOLD_ADD   | ABDL            | ₹    509.40 | Above all weekly EMAs
2026-04-11 01:37:54 | INFO | 🔴 EXIT       | TATACHEM        | ₹    689.90 | Below 40W EMA
2026-04-11 01:37:56 | INFO | 🔴 EXIT       | BLUESTARCO      | ₹   1690.00 | Below 40W EMA
2026-04-11 01:37:58 | INFO | 🔴 EXIT       | BLS             | ₹    288.48 | Below 40W EMA
