2026-05-02 02:09:40 | INFO | 🟡 WAIT       | DRREDDY         | ₹   1325.00 | EMAs converging, no breakout yet
2026-05-02 02:09:42 | INFO | 🟡 WAIT       | BRITANNIA       | ₹   5729.00 | EMAs converging, no breakout yet
2026-05-02 02:09:44 | INFO | 🟢 HOLD_ADD   | RADICO          | ₹   3435.00 | Above all weekly EMAs
2026-05-02 02:09:47 | INFO | 🟢 HOLD_ADD   | GESHIP          | ₹   1580.00 | Above all weekly EMAs
2026-05-02 02:09:49 | INFO | 🟡 WAIT       | CEATLTD         | ₹   3450.00 | EMAs converging, no breakout yet
2026-05-02 02:09:51 | WARNING | TENNIND: Insufficient data for analysis
2026-05-02 02:09:53 | INFO | 🟢 HOLD_ADD   | ABCAPITAL       | ₹    345.75 | Above all weekly EMAs
2026-05-02 02:09:55 | INFO | 🔴 EXIT       | REDINGTON       | ₹    215.00 | Below 40W EMA
2026-05-02 02:09:57 | INFO | ✅ BULLISH    | PNBHOUSING      | ₹   1043.05 | Resistance breakout with EMAs converging
2026-05-02 02:09:59 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    443.95 | Below 40W EMA
2026-05-02 02:10:01 | INFO | 🔴 EXIT       | BANKINDIA       | ₹    139.94 | Below 40W EMA
2026-05-02 02:10:04 | INFO | 🟢 HOLD_ADD   | WELCORP         | ₹   1265.00 | Above all weekly EMAs
2026-05-02 02:10:06 | INFO | 🟢 HOLD_ADD   | SAILIFE         | ₹   1064.50 | Above all weekly EMAs
2026-05-02 02:10:08 | INFO | 🟢 HOLD_ADD   | MUTHOOTFIN      | ₹   3432.00 | Above all weekly EMAs
2026-05-02 02:10:10 | INFO | 🟢 HOLD_ADD   | GRAPHITE        | ₹    703.90 | Above all weekly EMAs
2026-05-02 02:10:12 | INFO | 🟡 WAIT       | UNITDSPR        | ₹   1328.00 | EMAs converging, no breakout yet
2026-05-02 02:10:14 | INFO | 🟠 CAUTIOUS   | APLAPOLLO       | ₹   1907.00 | Below 20W EMA
2026-05-02 02:10:16 | INFO | 🔴 EXIT       | RPOWER          | ₹     28.77 | Below 40W EMA
2026-05-02 02:10:18 | INFO | 🔴 EXIT       | YESBANK         | ₹     19.99 | Below 40W EMA
2026-05-02 02:10:21 | INFO | 🔴 EXIT       | ICICIGI         | ₹   1761.00 | Below 40W EMA
2026-05-02 02:10:23 | INFO | 🟢 HOLD_ADD   | SOLARINDS       | ₹  15470.00 | Above all weekly EMAs
2026-05-02 02:10:25 | INFO | 🔴 EXIT       | UPL             | ₹    642.35 | Below 40W EMA
2026-05-02 02:10:27 | INFO | 🟢 HOLD_ADD   | TORNTPOWER      | ₹   1750.00 | Above all weekly EMAs
2026-05-02 02:10:29 | INFO | 🟢 HOLD_ADD   | MARICO          | ₹    776.20 | Above all weekly EMAs
2026-05-02 02:10:31 | INFO | 🔴 EXIT       | NAUKRI          | ₹    970.10 | Below 40W EMA
2026-05-02 02:10:34 | INFO | 🟡 WAIT       | NHPC            | ₹     83.50 | EMAs converging, no breakout yet
2026-05-02 02:10:36 | INFO | 🔴 EXIT       | SBICARD         | ₹    645.00 | Below 40W EMA
2026-05-02 02:10:38 | INFO | 🟢 HOLD_ADD   | AMBER           | ₹   8020.00 | Above all weekly EMAs
2026-05-02 02:10:40 | WARNING | ENRIN: Insufficient data for analysis
2026-05-02 02:10:42 | INFO | 🟢 HOLD_ADD   | ENGINERSIN      | ₹    253.20 | Above all weekly EMAs
2026-05-02 02:10:44 | INFO | 🟢 HOLD_ADD   | GAIL            | ₹    163.72 | Above all weekly EMAs
2026-05-02 02:10:47 | INFO | 🟢 HOLD_ADD   | ANGELONE        | ₹    309.00 | Above all weekly EMAs
2026-05-02 02:10:49 | INFO | 🟢 HOLD_ADD   | POLICYBZR       | ₹   1664.10 | Above all weekly EMAs
2026-05-02 02:10:51 | INFO | 🟢 HOLD_ADD   | USHAMART        | ₹    448.00 | Above all weekly EMAs
