2026-04-25 01:56:40 | INFO | 🟢 HOLD_ADD   | NYKAA           | ₹    262.79 | Above all weekly EMAs
2026-04-25 01:56:42 | INFO | 🟢 HOLD_ADD   | CAMS            | ₹    760.80 | Above all weekly EMAs
2026-04-25 01:56:44 | INFO | 🟢 HOLD_ADD   | APARINDS        | ₹  11532.00 | Above all weekly EMAs
2026-04-25 01:56:46 | INFO | 🟡 WAIT       | BOSCHLTD        | ₹  36690.00 | EMAs converging, no breakout yet
2026-04-25 01:56:48 | INFO | 🟢 HOLD_ADD   | JMFINANCIL      | ₹    138.71 | Above all weekly EMAs
2026-04-25 01:56:50 | INFO | 🟢 HOLD_ADD   | SYRMA           | ₹    969.60 | Above all weekly EMAs
2026-04-25 01:56:52 | INFO | 🟢 HOLD_ADD   | ASIANPAINT      | ₹   2485.10 | Above all weekly EMAs
2026-04-25 01:56:54 | INFO | 🟢 HOLD_ADD   | GRAPHITE        | ₹    723.40 | Above all weekly EMAs
2026-04-25 01:56:57 | INFO | 🟢 HOLD_ADD   | LTF             | ₹    290.05 | Above all weekly EMAs
2026-04-25 01:56:59 | INFO | 🟡 WAIT       | VOLTAS          | ₹   1464.00 | EMAs converging, no breakout yet
2026-04-25 01:57:01 | INFO | 🔴 EXIT       | KFINTECH        | ₹    956.05 | Below 40W EMA
2026-04-25 01:57:03 | INFO | 🔴 EXIT       | SRF             | ₹   2493.60 | Below 40W EMA
2026-04-25 01:57:05 | INFO | 🔴 EXIT       | PARADEEP        | ₹    133.67 | Below 40W EMA
2026-04-25 01:57:07 | WARNING | ICICIAMC: Insufficient data for analysis
2026-04-25 01:57:09 | INFO | 🟢 HOLD_ADD   | JINDALSAW       | ₹    239.73 | Above all weekly EMAs
2026-04-25 01:57:12 | INFO | 🟡 WAIT       | DMART           | ₹   4443.50 | EMAs converging, no breakout yet
2026-04-25 01:57:14 | WARNING | LGEINDIA: Insufficient data for analysis
2026-04-25 01:57:16 | INFO | 🟡 WAIT       | 360ONE          | ₹   1039.60 | EMAs converging, no breakout yet
