2026-03-07 01:25:56 | INFO | 🔴 EXIT       | AWL             | ₹    177.24 | Below 40W EMA
2026-03-07 01:25:59 | INFO | 🔴 EXIT       | TATAINVEST      | ₹    641.55 | Below 40W EMA
2026-03-07 01:26:01 | INFO | 🟢 HOLD_ADD   | AJANTPHARM      | ₹   2992.00 | Above all weekly EMAs
2026-03-07 01:26:03 | INFO | 🔴 EXIT       | SJVN            | ₹     70.99 | Below 40W EMA
2026-03-07 01:26:05 | INFO | 🔴 EXIT       | EXIDEIND        | ₹    315.95 | Below 40W EMA
2026-03-07 01:26:07 | INFO | 🟡 WAIT       | ALKEM           | ₹   5530.00 | EMAs converging, no breakout yet
2026-03-07 01:26:10 | INFO | 🔴 EXIT       | GUJGASLTD       | ₹    395.65 | Below 40W EMA
2026-03-07 01:26:12 | INFO | 🔴 EXIT       | PGHH            | ₹  10885.00 | Below 40W EMA
2026-03-07 01:26:14 | INFO | 🔴 EXIT       | IRB             | ₹     40.78 | Below 40W EMA
2026-03-07 01:26:16 | INFO | 🟡 WAIT       | JKCEMENT        | ₹   5426.50 | EMAs converging, no breakout yet
2026-03-07 01:26:18 | INFO | 🔴 EXIT       | IOB             | ₹     34.08 | Below 40W EMA
2026-03-07 01:26:20 | INFO | 🔴 EXIT       | SYNGENE         | ₹    399.70 | Below 40W EMA
2026-03-07 01:26:22 | INFO | 🔴 EXIT       | ATGL            | ₹    482.65 | Below 40W EMA
2026-03-07 01:26:24 | INFO | 🟡 WAIT       | BALKRISIND      | ₹   2249.70 | EMAs converging, no breakout yet
2026-03-07 01:26:27 | INFO | 🔴 EXIT       | UCOBANK         | ₹     27.21 | Below 40W EMA
2026-03-07 01:26:29 | INFO | 🟡 WAIT       | ENDURANCE       | ₹   2451.80 | EMAs converging, no breakout yet
2026-03-07 01:26:31 | INFO | 🔴 EXIT       | ABBOTINDIA      | ₹  27325.00 | Below 40W EMA
