2026-03-14 01:27:10 | INFO | 🔴 EXIT       | PHOENIXLTD      | ₹   1565.50 | Broke support with EMAs converging
2026-03-14 01:27:12 | INFO | 🟡 WAIT       | ALKEM           | ₹   5355.50 | EMAs converging, no breakout yet
2026-03-14 01:27:14 | INFO | 🔴 EXIT       | GUJGASLTD       | ₹    374.30 | Below 40W EMA
2026-03-14 01:27:17 | INFO | 🟡 WAIT       | BHEL            | ₹    258.50 | EMAs converging, no breakout yet
2026-03-14 01:27:19 | INFO | 🔴 EXIT       | COFORGE         | ₹   1089.70 | Below 40W EMA
2026-03-14 01:27:21 | INFO | 🟠 CAUTIOUS   | M&MFIN          | ₹    330.20 | Below 20W EMA
2026-03-14 01:27:23 | INFO | 🔴 EXIT       | PGHH            | ₹  10522.00 | Below 40W EMA
2026-03-14 01:27:26 | INFO | 🟢 HOLD_ADD   | LUPIN           | ₹   2314.90 | Above all weekly EMAs
2026-03-14 01:27:28 | INFO | 🟠 CAUTIOUS   | AIAENG          | ₹   3665.30 | Below 20W EMA
2026-03-14 01:27:30 | INFO | 🔴 EXIT       | OBEROIRLTY      | ₹   1452.10 | Below 40W EMA
2026-03-14 01:27:32 | INFO | 🔴 EXIT       | IRB             | ₹     41.56 | Below 40W EMA
2026-03-14 01:27:34 | INFO | 🟠 CAUTIOUS   | APLAPOLLO       | ₹   1933.20 | Below 20W EMA
2026-03-14 01:27:37 | INFO | 🔴 EXIT       | GODFRYPHLP      | ₹   2016.60 | Below 40W EMA
2026-03-14 01:27:39 | INFO | 🔴 EXIT       | ESCORTS         | ₹   3120.60 | Broke support with EMAs converging
2026-03-14 01:27:41 | INFO | 🟡 WAIT       | UPL             | ₹    609.40 | EMAs converging, no breakout yet
2026-03-14 01:27:43 | INFO | 🔴 EXIT       | IREDA           | ₹    114.85 | Below 40W EMA
2026-03-14 01:27:46 | INFO | 🟠 CAUTIOUS   | ABCAPITAL       | ₹    310.75 | Below 20W EMA
2026-03-14 01:27:48 | INFO | 🔴 EXIT       | COCHINSHIP      | ₹   1385.50 | Below 40W EMA
2026-03-14 01:27:50 | INFO | 🔴 EXIT       | LTTS            | ₹   3430.10 | Below 40W EMA
2026-03-14 01:27:52 | INFO | 🔴 EXIT       | CONCOR          | ₹    453.40 | Below 40W EMA
2026-03-14 01:27:54 | INFO | 🔴 EXIT       | FORTIS          | ₹    839.75 | Below 40W EMA
2026-03-14 01:27:56 | INFO | 🔴 EXIT       | UCOBANK         | ₹     25.32 | Below 40W EMA
2026-03-14 01:27:59 | INFO | 🟡 WAIT       | SONACOMS        | ₹    486.05 | EMAs converging, no breakout yet
2026-03-14 01:28:01 | INFO | 🔴 EXIT       | HEROMOTOCO      | ₹   5206.00 | Below 40W EMA
2026-03-14 01:28:03 | INFO | 🟢 HOLD_ADD   | CUMMINSIND      | ₹   4649.70 | Above all weekly EMAs
2026-03-14 01:28:05 | INFO | 🔴 EXIT       | IGL             | ₹    156.51 | Below 40W EMA
2026-03-14 01:28:08 | INFO | 🔴 EXIT       | SBICARD         | ₹    704.90 | Below 40W EMA
2026-03-14 01:28:10 | INFO | 🟡 WAIT       | INDUSINDBK      | ₹    814.40 | EMAs converging, no breakout yet
2026-03-14 01:28:13 | INFO | 🔴 EXIT       | MPHASIS         | ₹   2114.80 | Below 40W EMA
2026-03-14 01:28:15 | INFO | 🔴 EXIT       | KEI             | ₹   4158.00 | Below 40W EMA
2026-03-14 01:28:17 | INFO | 🔴 EXIT       | IOB             | ₹     32.61 | Below 40W EMA
2026-03-14 01:28:20 | INFO | 🟡 WAIT       | SUPREMEIND      | ₹   3886.50 | EMAs converging, no breakout yet
2026-03-14 01:28:22 | INFO | 🔴 EXIT       | COROMANDEL      | ₹   2002.40 | Broke support with EMAs converging
2026-03-14 01:28:24 | INFO | 🟡 WAIT       | GMRAIRPORT      | ₹     89.26 | EMAs converging, no breakout yet
