2026-04-04 01:34:58 | INFO | 🔴 EXIT       | RADICO          | ₹   2623.20 | Below 40W EMA
2026-04-04 01:35:00 | INFO | 🔴 EXIT       | NAM-INDIA       | ₹    829.90 | Below 40W EMA
2026-04-04 01:35:02 | INFO | 🔴 EXIT       | AMBUJACEM       | ₹    418.45 | Below 40W EMA
2026-04-04 01:35:04 | INFO | 🟡 WAIT       | ENGINERSIN      | ₹    200.55 | EMAs converging, no breakout yet
2026-04-04 01:35:06 | INFO | 🔴 EXIT       | PNBHOUSING      | ₹    784.40 | Below 40W EMA
2026-04-04 01:35:08 | INFO | 🔴 EXIT       | UPL             | ₹    593.00 | Below 40W EMA
2026-04-04 01:35:10 | INFO | 🔴 EXIT       | WOCKPHARMA      | ₹   1271.50 | Below 40W EMA
2026-04-04 01:35:12 | INFO | 🔴 EXIT       | SAGILITY        | ₹     41.73 | Below 40W EMA
2026-04-04 01:35:15 | INFO | 🟡 WAIT       | IFCI            | ₹     52.44 | EMAs converging, no breakout yet
2026-04-04 01:35:17 | INFO | 🔴 EXIT       | JPPOWER         | ₹     15.01 | Below 40W EMA
2026-04-04 01:35:19 | INFO | 🟡 WAIT       | HEG             | ₹    550.00 | EMAs converging, no breakout yet
2026-04-04 01:35:21 | INFO | 🟡 WAIT       | SIEMENS         | ₹   3026.60 | EMAs converging, no breakout yet
2026-04-04 01:35:23 | INFO | 🟢 HOLD_ADD   | GPIL            | ₹    276.75 | Above all weekly EMAs
2026-04-04 01:35:25 | INFO | 🟡 WAIT       | GMRAIRPORT      | ₹     88.87 | EMAs converging, no breakout yet
2026-04-04 01:35:27 | INFO | 🔴 EXIT       | ICICIPRULI      | ₹    503.40 | Below 40W EMA
2026-04-04 01:35:29 | INFO | 🔴 EXIT       | ATGL            | ₹    520.05 | Below 40W EMA
2026-04-04 01:35:32 | INFO | 🔴 EXIT       | TARIL           | ₹    273.10 | Below 40W EMA
2026-04-04 01:35:34 | WARNING | LENSKART: Insufficient data for analysis
2026-04-04 01:35:36 | INFO | 🔴 EXIT       | GRAVITA         | ₹   1295.10 | Below 40W EMA
2026-04-04 01:35:38 | INFO | 🔴 EXIT       | SIGNATURE       | ₹    749.50 | Below 40W EMA
2026-04-04 01:35:40 | INFO | 🔴 EXIT       | NHPC            | ₹     75.33 | Below 40W EMA
